Temp,1,2,3
361.781,68.38154,-0.6934,3.21355
362.781,68.58153,-0.69274,3.20899
363.781,68.7815,-0.69112,3.20441
364.781,68.98117,-0.6862,3.19981
365.781,69.18098,-0.68649,3.19518
366.781,69.38116,-0.68438,3.19054
367.781,69.58138,-0.67916,3.18587
368.781,69.78138,-0.67306,3.18119
369.781,69.9813,-0.66336,3.17649
370.781,70.18098,-0.65955,3.17176
371.781,70.38074,-0.64592,3.16702
372.781,70.58087,-0.62857,3.16226
373.781,70.78099,-0.60949,3.15748
374.781,70.98121,-0.58487,3.15268
375.781,71.18142,-0.55905,3.14785
376.781,71.38154,-0.52579,3.14301
377.781,71.58154,-0.48763,3.13816
378.781,71.78147,-0.44143,3.13328
379.781,71.98139,-0.38964,3.12838
380.781,72.18121,-0.33076,3.12347
381.781,72.38116,-0.26959,3.11853
382.781,72.5813,-0.20333,3.11358
383.781,72.78125,-0.13617,3.10861
384.781,72.98109,-7.29E-02,3.10362
385.781,73.18106,-1.62E-02,3.09861
386.781,73.38093,3.25E-02,3.09359
387.781,73.58082,6.69E-02,3.08855
388.781,73.78059,8.45E-02,3.08349
389.781,73.98036,8.35E-02,3.07841
390.781,74.18044,6.35E-02,3.07331
391.781,74.38048,2.86E-02,3.0682
392.781,74.5804,-1.56E-02,3.06307
393.781,74.7804,-6.61E-02,3.05792
394.781,74.98041,-0.11585,3.05276
395.781,75.18029,-0.16354,3.04757
396.781,75.38021,-0.20787,3.04237
397.781,75.58016,-0.25126,3.03716
398.781,75.78018,-0.29286,3.03193
399.781,75.98014,-0.33296,3.02668
400.781,76.18013,-0.37264,3.02141
401.781,76.38016,-0.41041,3.01613
402.781,76.58024,-0.44548,3.01083
403.781,76.78021,-0.48852,3.00552
404.781,76.9801,-0.51371,3.00019
405.781,77.17989,-0.53705,2.99485
406.781,77.3795,-0.55796,2.98949
407.781,77.57934,-0.5776,2.98411
408.781,77.77926,-0.59326,2.97872
409.781,77.97923,-0.60833,2.97331
410.781,78.17935,-0.62205,2.96789
411.781,78.37934,-0.63747,2.96245
412.781,78.57934,-0.65319,2.957
413.781,78.77925,-0.67038,2.95153
414.781,78.979,-0.68992,2.94605
415.781,79.17897,-0.71072,2.94055
416.781,79.37903,-0.73056,2.93504
417.781,79.57904,-0.75015,2.92951
418.781,79.77908,-0.76832,2.92397
419.781,79.97913,-0.78612,2.91842
420.781,80.17913,-0.80064,2.91285
421.781,80.37918,-0.81524,2.90727
422.781,80.57917,-0.82905,2.90167
